iter	Passed	Remaining
146	7117	21062
147	7166	21016
148	7210	20952
149	7248	20876
150	7290	20808
151	7331	20739
152	7370	20665
153	7407	20587
154	7449	20523
155	7489	20451
156	7532	20389
157	7570	20315
158	7614	20256
159	7659	20202
160	7711	20165
161	7752	20099
162	7797	20043
163	7837	19975
164	7876	19907
165	7923	19856
166	7963	19789
167	8009	19736
168	8047	19666
169	8090	19607
170	8135	19552
171	8174	19485
172	8213	19418
173	8254	19355
174	8296	19294
175	8337	19233
176	8380	19176
177	8425	19122
178	8467	19063
179	8510	19007
180	8553	18950
181	8593	18887
182	8629	18815
183	8672	18759
184	8711	18693
185	8757	18646
186	8799	18586
187	8840	18527
188	8881	18468
189	8922	18407
190	8967	18357
191	9006	18294
192	9059	18259
193	9103	18207
194	9150	18159
195	9192	18103
196	9235	18049
197	9278	17994
198	9317	17933
199	9359	17876
200	9406	17830
201	9449	17776
202	9495	17728
203	9539	17676
204	9584	17625
205	9639	17594
206	9694	17562
207	9753	17538
208	9800	17490
209	9842	17435
210	9883	17378
211	9927	17326
212	9966	17266
213	10028	17245
214	10078	17203
215	10122	17151
216	10162	17092
217	10211	17050
218	10264	17013
219	10309	16963
220	10353	16911
221	10397	16861
222	10440	16807
223	10480	16750
224	10520	16693
225	10568	16648
226	10618	16605
227	10661	16554
228	10710	16509
229	10754	16459
230	10801	16412
231	10848	16366
232	10919	16356
233	10985	16337
234	11029	16286
235	11074	16235
236	11120	16188
237	11162	16134
238	11207	16083
239	11255	16039
240	11312	16006
241	11360	15961
242	11403	15908
243	11453	15865
244	11518	15844
245	11573	15807
246	11627	15769
247	11670	15717
248	11718	15672
249	11764	15623
250	11808	15571
251	11856	15526
252	11897	15472
253	11944	15424
254	12021	15416
255	12083	15387
256	12134	15344
257	12190	15308
258	12245	15271
259	12310	15246
260	12372	15216
261	12422	15172
262	12469	15124
263	12516	15076
264	12562	15027
265	12612	14983
266	12671	14949
267	12727	14912
268	12778	14868
269	12831	14827
270	12888	14790
271	12933	14740
272	12980	14691
273	13025	14642
274	13076	14598
275	13135	14563
276	13191	14524
277	13238	14476
278	13288	14432
279	13336	14384
280	13395	14348
281	13454	14313
282	13503	14266
283	13558	14227
284	13623	14197
285	13671	14149
286	13716	14098
287	13763	14049
288	13814	14005
289	13859	13955
290	13912	13912
291	13958	13862
292	13997	13806
293	14042	13755
294	14086	13704
295	14147	13670
296	14203	13629
297	14258	13588
298	14311	13545
299	14359	13497
300	14404	13447
301	14444	13392
302	14500	13352
303	14563	13318
304	14620	13278
305	14688	13248
306	14740	13203
307	14789	13156
308	14844	13115
309	14889	13064
310	14944	13022
311	14996	12977
312	15045	12930
313	15096	12885
314	15140	12833
315	15196	12792
316	15239	12739
317	15285	12689
318	15327	12636
319	15371	12585
320	15419	12537
321	15478	12497
322	15525	12449
323	15568	12397
324	15621	12353
325	15675	12309
326	15732	12268
327	15774	12215
328	15821	12166
329	15872	12120
330	15924	12075
331	15973	12027
332	16030	11986
333	16075	11936
334	16121	11886
335	16167	11836
336	16227	11797
337	16279	11751
338	16326	11702
339	16374	11654
340	16430	11612
341	16480	11565
342	16530	11518
343	16577	11469
344	16631	11424
345	16732	11413
346	16790	11371
347	16865	11340
348	16914	11292
349	16963	11244
350	17011	11195
351	17064	11150
352	17113	11101
353	17158	11051
354	17199	10997
355	17246	10948
356	17288	10895
357	17329	10843
358	17372	10791
359	17411	10737
360	17454	10685
361	17496	10633
362	17536	10580
363	17577	10527
364	17621	10476
365	17667	10426
366	17708	10374
367	17750	10322
368	17794	10271
369	17839	10221
370	17885	10172
371	17925	10119
372	17973	10070
373	18025	10024
374	18071	9975
375	18127	9931
376	18175	9883
377	18229	9838
378	18267	9784
379	18311	9734
380	18355	9683
381	18396	9631
382	18438	9580
383	18478	9527
384	18517	9475
385	18560	9424
386	18604	9374
387	18647	9323
388	18687	9271
389	18735	9223
390	18780	9174
391	18821	9122
392	18865	9072
393	18905	9021
394	18952	8972
395	18998	8923
396	19044	8874
397	19085	8823
398	19126	8772
399	19171	8722
400	19217	8674
401	19263	8625
402	19305	8574
403	19352	8526
404	19391	8474
405	19432	8424
406	19471	8372
407	19520	8324
408	19565	8275
409	19606	8225
410	19655	8177
411	19697	8127
412	19742	8078
413	19783	8028
414	19825	7977
415	19872	7930
416	19914	7880
417	19956	7829
418	19995	7778
419	20040	7729
420	20081	7679
421	20122	7629
422	20165	7579
423	20213	7532
424	20254	7482
425	20297	7432
426	20336	7382
427	20384	7334
428	20423	7283
429	20468	7235
430	20510	7185
431	20550	7135
432	20592	7086
433	20634	7036
434	20682	6989
435	20724	6939
436	20769	6891
437	20810	6841
438	20849	6791
439	20894	6743
440	20936	6694
441	20975	6643
442	21011	6592
443	21050	6542
444	21089	6492
445	21132	6444
446	21169	6393
447	21214	6345
448	21258	6297
449	21301	6248
450	21341	6198
451	21393	6152
452	21436	6104
453	21475	6054
454	21514	6005
455	21558	5957
456	21599	5908
457	21638	5858
458	21683	5810
459	21724	5761
460	21771	5714
461	21815	5666
462	21864	5619
463	21907	5571
464	21953	5523
465	22016	5480
466	22064	5433
467	22108	5385
468	22158	5338
469	22207	5292
470	22269	5248
471	22326	5203
472	22372	5155
473	22424	5109
474	22472	5062
475	22537	5018
476	22595	4973
477	22641	4926
478	22686	4878
479	22735	4831
480	22785	4784
481	22830	4736
482	22873	4688
483	22920	4640
484	22963	4592
485	23011	4545
486	23062	4498
487	23111	4451
488	23157	4404
489	23207	4357
490	23262	4311
491	23309	4263
492	23357	4216
493	23405	4169
494	23452	4121
495	23498	4074
496	23546	4027
497	23594	3979
498	23646	3933
499	23693	3885
500	23742	3838
501	23800	3792
502	23850	3745
503	23890	3697
504	23938	3650
505	23983	3602
506	24025	3554
507	24067	3505
508	24110	3457
509	24153	3409
510	24198	3362
511	24244	3314
512	24289	3266
513	24333	3219
514	24381	3171
515	24425	3124
516	24471	3076
517	24513	3028
518	24553	2980
519	24591	2932
520	24633	2884
521	24673	2836
522	24715	2788
523	24761	2740
524	24798	2692
525	24843	2644
526	24884	2597
527	24921	2548
528	24962	2500
529	25003	2453
530	25045	2405
531	25088	2357
532	25135	2310
533	25177	2263
534	25223	2215
535	25264	2168
536	25304	2120
537	25345	2072
538	25390	2025
539	25429	1977
540	25472	1930
541	25513	1882
542	25559	1835
543	25600	1788
544	25643	1740
545	25686	1693
546	25728	1646
547	25770	1598
548	25812	1551
549	25851	1504
550	25902	1457
551	25946	1410
552	25995	1363
553	26037	1315
554	26077	1268
555	26117	1221
556	26162	1174
557	26201	1126
558	26240	1079
559	26283	1032
560	26323	985
561	26367	938
562	26409	891
563	26451	844
564	26493	797
565	26540	750
566	26585	703
567	26621	656
568	26659	609
569	26699	562
570	26744	515
571	26783	468
572	26827	421
573	26869	374
574	26912	327
575	26962	280
576	27004	234
577	27045	187
578	27086	140
579	27133	93
580	27174	46
581	27216	0
