iter	Logloss
0	0.6550355082
1	0.6211523661
2	0.5946501734
3	0.5719208187
4	0.5535449253
5	0.5383861825
6	0.5268638857
7	0.5151660072
8	0.5056189634
9	0.4961469724
10	0.4880748221
11	0.4819875179
12	0.4759234234
13	0.4716278072
14	0.466918428
15	0.4623846912
16	0.4578601866
17	0.4546337727
18	0.4517375873
19	0.4479561006
20	0.444401916
21	0.4415945447
22	0.4385378127
23	0.4349555258
24	0.4316754669
25	0.4296364536
26	0.4273374386
27	0.4246978569
28	0.4226903973
29	0.4207994084
30	0.4182308895
31	0.4165055016
32	0.4148649821
33	0.413262879
34	0.4119017361
35	0.4105358911
36	0.4086361543
37	0.4067431504
38	0.4045567668
39	0.402100084
40	0.4006560775
41	0.398788814
42	0.3963684802
43	0.3948519207
44	0.3922016827
45	0.3906164021
46	0.3890692226
47	0.3870018192
48	0.3852980064
49	0.3831771942
50	0.3816234926
51	0.3801927803
52	0.3792059482
53	0.3779683503
54	0.3770262915
55	0.3758307971
56	0.3746017476
57	0.3736356493
58	0.3719687218
59	0.3709433373
60	0.3697352797
61	0.3682812161
62	0.3664074935
63	0.3652862006
64	0.3638910566
65	0.3622228836
66	0.360926425
67	0.3601309465
68	0.3589686296
69	0.3575151269
70	0.3562432557
71	0.354961757
72	0.3532803596
73	0.3524979827
74	0.3513897505
75	0.3500596942
76	0.3490476742
77	0.3477085583
78	0.3466635881
79	0.346224227
80	0.3454241772
81	0.3446232303
82	0.3433276733
83	0.3420629996
84	0.3412925302
85	0.3401551046
86	0.339319398
87	0.3386710563
88	0.3372951671
89	0.3358785731
90	0.3347372631
91	0.3335271021
92	0.3324590869
93	0.331170356
94	0.3303091989
95	0.3293288411
96	0.328310689
97	0.3277904015
98	0.3273473859
99	0.3259419573
100	0.3245192495
101	0.3233517984
102	0.3224795787
103	0.3213648371
104	0.3202155642
105	0.3194460515
106	0.3183135453
107	0.3171900743
108	0.3161892113
109	0.3149541973
110	0.3142213032
111	0.313562733
112	0.3129326553
113	0.3121162801
114	0.3108353146
115	0.3103187584
116	0.3094783789
117	0.3088103803
118	0.3082076437
119	0.307458226
120	0.3064664063
121	0.3054343974
122	0.3049072984
123	0.3034017079
124	0.3023746446
125	0.3016654005
126	0.3007208091
127	0.2996754133
128	0.2989338923
129	0.2981859358
130	0.297710837
131	0.2968607962
132	0.2961471754
133	0.294885412
134	0.2941259732
135	0.293022453
136	0.2922772977
137	0.2913688181
138	0.2901721692
139	0.2892863468
140	0.2884303377
141	0.2877961711
142	0.2872085855
143	0.2863502381
144	0.2855218611
145	0.2846132646
146	0.2835476452
147	0.2823413202
148	0.2817141756
149	0.2811119591
150	0.2798735409
151	0.2791351601
152	0.2784179604
153	0.2775588826
154	0.2771404815
155	0.2765919137
156	0.2758964541
157	0.2753787104
158	0.274508979
159	0.2735598187
160	0.2728764442
161	0.2719608532
162	0.2710366205
163	0.2702886534
164	0.2697885099
165	0.2685912509
166	0.2677575473
167	0.2669247646
168	0.2660716683
169	0.2653740678
170	0.2645087802
171	0.2636370316
172	0.2630897661
173	0.2622505696
174	0.2614885062
175	0.2606917065
176	0.2596538659
177	0.2587785529
178	0.2579280547
179	0.257148951
180	0.2567415504
181	0.2561198003
182	0.2558195649
183	0.2546214384
184	0.2541220773
185	0.2532850867
186	0.2527654608
187	0.2519446942
188	0.2510729659
189	0.2502586876
190	0.2493133376
191	0.2485802001
192	0.2478358569
193	0.2471778377
194	0.2464861553
195	0.2457418395
196	0.2450483651
197	0.2445135243
198	0.2439540732
199	0.2434282346
200	0.2428482915
201	0.2420276245
202	0.2407757573
203	0.2400581494
204	0.2392023936
205	0.238559959
206	0.2379311769
207	0.2372917046
208	0.236491037
209	0.2356907115
210	0.2347440006
211	0.2343885362
212	0.2338149185
213	0.2330682972
214	0.2323557355
215	0.2317220156
216	0.2312442957
217	0.2307764279
218	0.2302946396
219	0.2296886043
220	0.229239382
221	0.2286571616
222	0.2280954018
223	0.2277303671
224	0.2271642803
225	0.2267624672
226	0.2260630241
227	0.2258044998
228	0.2251654745
229	0.2246204071
230	0.2241396536
231	0.2236870187
232	0.2231083363
233	0.2227440377
234	0.2221002706
235	0.2215908312
236	0.2210757969
237	0.2207241872
238	0.2200002749
239	0.219394514
240	0.2189045908
241	0.2184657837
242	0.2177437387
243	0.2171393825
244	0.2166226817
245	0.2159858364
246	0.215562458
247	0.2150563713
248	0.2145466826
249	0.2141254237
250	0.2137169046
251	0.2131379274
252	0.212519284
253	0.2119294096
254	0.2112361131
255	0.2106540949
256	0.2100337946
257	0.2095175805
258	0.2091085236
259	0.2084057303
260	0.2081169181
261	0.2076332275
262	0.2072372033
263	0.2069392585
264	0.2063223412
265	0.2057956484
266	0.2051205806
267	0.2047779005
268	0.2045154498
269	0.2040804915
270	0.2037957534
271	0.2033634934
272	0.2027983703
273	0.2022570458
274	0.201656735
275	0.201059517
276	0.2007396189
277	0.2003049996
278	0.1999084147
279	0.1994356023
280	0.1989048406
281	0.1984632487
282	0.1981167101
283	0.197608433
284	0.1971526689
285	0.1967605398
286	0.1961962696
287	0.1957892202
288	0.1955499579
289	0.19505214
290	0.1947243512
291	0.193998548
292	0.1936346646
293	0.192947833
294	0.1926520843
295	0.1923665867
296	0.1917979446
297	0.1914877563
298	0.1910112606
299	0.1905609227
300	0.1899679227
301	0.1896036119
302	0.1890447636
303	0.188264064
304	0.1877467549
305	0.1872297896
306	0.1868797066
307	0.1865244426
308	0.1859194151
309	0.1854463173
310	0.1847473946
311	0.1843847332
312	0.1839675097
313	0.1833359045
314	0.183026197
315	0.1826107847
316	0.182313828
317	0.1818186088
318	0.1813210077
319	0.1808410477
320	0.1805321898
321	0.1799035067
322	0.1795758992
323	0.1792318428
324	0.1787134628
325	0.1781653264
326	0.1777652756
327	0.177076152
328	0.176517513
329	0.1760337717
330	0.1754724351
331	0.175165784
332	0.174638019
333	0.1743465737
334	0.1740621772
335	0.1736807017
336	0.1732268552
337	0.1726973437
338	0.1723928377
339	0.1721251984
340	0.1718345704
341	0.171402293
342	0.1710098179
343	0.1704482673
344	0.1699211821
345	0.1697252144
346	0.1693732105
347	0.1688894428
